"stock_id","store_id","product_id","quantity","last_stocked_date"
"S57","2","P13",801,"2023-09-17"
"S58","3","P13",439,"2024-08-05"
"S59","4","P13",154,"2023-11-15"
"S60","5","P13",201,"2024-05-28"
"S61","1","P14",65,"2023-11-07"
"S62","2","P14",335,"2024-04-24"
"S63","3","P14",147,"2023-09-25"
"S64","4","P14",361,"2024-07-04"
"S65","5","P14",215,"2023-05-12"
"S66","1","P15",482,"2024-02-06"
"S67","2","P15",977,"2024-03-30"
"S68","3","P15",856,"2023-09-05"
"S69","4","P15",405,"2023-05-06"
"S70","5","P15",316,"2024-10-04"
"S71","1","P16",694,"2024-06-25"
"S72","2","P16",863,"2024-10-06"
"S73","3","P16",122,"2023-09-18"
"S74","4","P16",63,"2024-10-18"
"S75","5","P16",608,"2024-01-15"
"S76","1","P17",844,"2024-02-02"
"S77","2","P17",36,"2023-05-13"
"S78","3","P17",746,"2023-09-24"
"S79","4","P17",584,"2023-10-11"
"S80","5","P17",378,"2023-11-12"
"S81","1","P19",100,"2023-10-20"
"S82","2","P19",23,"2024-03-23"
"S83","3","P19",836,"2023-12-14"
"S84","4","P19",453,"2023-05-30"
"S85","5","P19",570,"2024-11-02"
"S86","1","P20",492,"2024-03-06"
"S87","2","P20",131,"2024-05-01"
"S88","3","P20",90,"2023-10-04"
"S89","4","P20",837,"2023-07-22"
"S90","5","P20",149,"2024-05-15"
"S91","1","P21",879,"2023-11-13"
"S92","2","P21",811,"2023-09-13"
"S93","3","P21",192,"2024-05-12"
"S94","4","P21",939,"2024-05-12"
"S95","5","P21",212,"2023-06-12"
"S96","1","P22",876,"2024-08-20"
"S97","2","P22",59,"2024-10-12"
"S98","3","P22",693,"2024-01-29"
"S99","4","P22",300,"2024-10-31"
"S100","5","P22",746,"2023-07-29"
"S101","1","P23",34,"2023-11-26"
"S102","2","P23",935,"2024-03-14"
"S103","3","P23",433,"2023-07-30"
"S104","4","P23",256,"2023-09-01"
"S105","5","P23",734,"2024-07-20"
"S106","1","P24",333,"2023-10-16"
"S107","2","P24",22,"2024-11-16"
"S108","3","P24",543,"2024-03-20"
"S109","4","P24",670,"2024-05-16"
"S110","5","P24",212,"2023-11-30"
"S111","1","P25",653,"2023-11-28"
"S112","2","P25",492,"2024-03-13"
"S113","3","P25",742,"2023-10-12"
"S114","4","P25",856,"2023-07-12"
"S115","5","P25",334,"2024-09-29"
"S116","1","P26",320,"2023-11-14"
"S117","2","P26",163,"2024-07-10"
"S118","3","P26",443,"2024-01-21"
"S119","4","P26",706,"2024-02-26"
"S120","5","P26",258,"2024-04-01"
"S121","1","P27",510,"2024-02-19"
"S122","2","P27",499,"2024-08-08"
"S123","3","P27",740,"2024-06-08"
"S124","4","P27",880,"2023-06-13"
"S125","5","P27",649,"2023-06-25"
"S126","1","P28",701,"2024-05-21"
"S127","2","P28",764,"2024-08-29"
"S128","3","P28",773,"2023-08-19"
"S129","4","P28",615,"2024-02-27"
"S130","5","P28",583,"2023-12-13"
"S131","1","P29",32,"2024-07-27"
"S132","2","P29",305,"2023-08-03"
"S133","3","P29",240,"2024-10-10"
"S134","4","P29",376,"2024-04-15"
"S135","5","P29",428,"2024-01-28"
"S136","1","P31",749,"2024-08-23"
"S137","2","P31",906,"2024-07-18"
"S138","3","P31",800,"2024-08-13"
"S139","4","P31",72,"2024-07-02"
"S140","5","P31",169,"2023-05-15"
"S141","1","P32",750,"2024-06-22"
"S142","2","P32",43,"2024-09-10"
"S143","3","P32",880,"2024-02-15"
"S144","4","P32",972,"2024-05-23"
"S145","5","P32",184,"2023-09-24"
"S146","1","P33",72,"2024-09-01"
"S147","2","P33",902,"2024-08-12"
"S148","3","P33",813,"2023-08-11"
"S149","4","P33",717,"2023-09-24"
"S150","5","P33",471,"2024-01-11"
"S151","1","P34",807,"2024-05-18"
"S152","2","P34",830,"2024-01-25"
"S153","3","P34",243,"2023-05-08"
"S154","4","P34",638,"2023-08-04"
"S155","5","P34",271,"2023-10-29"
"S156","1","P35",285,"2024-09-01"
"S157","2","P35",854,"2024-02-11"
"S158","3","P35",334,"2023-06-06"
"S159","4","P35",898,"2024-09-13"
"S160","5","P35",581,"2024-02-08"
"S161","1","P36",4,"2023-10-03"
"S162","2","P36",122,"2024-02-11"
"S163","3","P36",243,"2023-08-19"
"S164","4","P36",199,"2023-06-13"
"S165","5","P36",768,"2024-01-20"
"S166","1","P37",236,"2023-11-14"
"S167","2","P37",251,"2023-09-28"
"S168","3","P37",723,"2024-01-23"
"S169","4","P37",735,"2023-08-23"
"S170","5","P37",928,"2024-03-11"
"S171","1","P38",374,"2024-01-13"
"S172","2","P38",370,"2023-07-14"
"S173","3","P38",375,"2024-08-08"
"S174","4","P38",490,"2023-10-10"
"S175","5","P38",3,"2024-07-23"
"S176","1","P39",484,"2023-08-13"
"S177","2","P39",236,"2023-05-09"
"S178","3","P39",848,"2023-09-24"
"S179","4","P39",520,"2023-06-10"
"S180","5","P39",354,"2023-06-25"
"S181","1","P44",163,"2024-08-19"
"S182","2","P44",72,"2023-06-30"
"S183","3","P44",85,"2023-06-11"
"S184","4","P44",255,"2024-03-09"
"S185","5","P44",960,"2024-04-12"
"S186","1","P45",442,"2023-11-10"
"S187","2","P45",550,"2024-04-13"
"S188","3","P45",182,"2024-10-21"
"S189","4","P45",421,"2024-03-26"
"S190","5","P45",391,"2023-08-24"
"S191","1","P46",637,"2023-06-03"
"S192","2","P46",196,"2024-03-23"
"S193","3","P46",954,"2023-08-01"
"S194","4","P46",626,"2023-10-26"
"S195","5","P46",484,"2024-03-23"
"S196","1","P47",348,"2024-02-27"
"S197","2","P47",917,"2024-03-16"
"S198","3","P47",49,"2024-05-15"
"S199","4","P47",822,"2024-05-28"
"S200","5","P47",76,"2023-07-29"
"S201","1","P48",975,"2023-10-11"
"S202","2","P48",789,"2024-10-17"
"S203","3","P48",85,"2023-07-02"
"S204","4","P48",644,"2023-12-28"
"S205","5","P48",871,"2024-08-22"
"S206","1","P49",22,"2023-09-28"
"S207","2","P49",586,"2024-04-05"
"S208","3","P49",461,"2024-05-02"
"S209","4","P49",913,"2023-06-07"
"S210","5","P49",960,"2024-10-29"
"S211","1","P50",15,"2023-07-22"
"S212","2","P50",972,"2024-10-28"
"S213","3","P50",667,"2024-05-17"
"S214","4","P50",863,"2023-05-13"
"S215","5","P50",245,"2023-11-13"
"S216","1","P51",316,"2024-08-29"
"S217","2","P51",595,"2023-10-10"
"S218","3","P51",2,"2023-08-08"
"S219","4","P51",548,"2024-09-14"
"S220","5","P51",348,"2023-08-16"
"S221","1","P52",982,"2024-09-05"
"S222","2","P52",870,"2023-05-28"
"S223","3","P52",14,"2024-04-14"
"S224","4","P52",510,"2023-10-18"
"S225","5","P52",205,"2024-02-23"
"S226","1","P53",627,"2024-02-04"
"S227","2","P53",11,"2024-01-22"
"S228","3","P53",748,"2024-09-19"
"S229","4","P53",182,"2024-02-09"
"S230","5","P53",376,"2023-07-31"
"S231","1","P54",966,"2024-03-26"
"S232","2","P54",413,"2024-01-16"
"S233","3","P54",654,"2023-08-18"
"S234","4","P54",642,"2024-07-23"
"S235","5","P54",191,"2024-07-03"
"S236","1","P55",181,"2024-03-28"
"S237","2","P55",367,"2023-09-05"
"S238","3","P55",835,"2023-05-04"
"S239","4","P55",442,"2023-07-03"
"S240","5","P55",647,"2023-07-29"
"S241","1","P56",436,"2023-05-22"
"S242","2","P56",751,"2024-10-21"
"S243","3","P56",369,"2024-11-11"
"S244","4","P56",387,"2024-05-13"
"S245","5","P56",270,"2023-10-25"
"S246","1","P57",141,"2024-09-17"
"S247","2","P57",519,"2023-09-27"
"S248","3","P57",279,"2024-05-31"
"S249","4","P57",581,"2024-10-15"
"S250","5","P57",307,"2024-09-15"
"S251","1","P58",641,"2023-09-18"
"S252","2","P58",469,"2024-06-10"
"S253","3","P58",580,"2023-12-22"
"S254","4","P58",67,"2023-10-19"
"S255","5","P58",967,"2024-08-05"
"S256","1","P59",736,"2024-10-28"
"S257","2","P59",390,"2024-11-16"
"S258","3","P59",859,"2024-07-20"
"S259","4","P59",963,"2024-09-29"
"S260","5","P59",424,"2024-07-16"
"S261","1","P60",686,"2023-09-13"
"S262","2","P60",147,"2024-02-10"
"S263","3","P60",815,"2023-05-30"
"S264","4","P60",355,"2023-08-30"
"S265","5","P60",206,"2024-08-24"
"S266","1","P61",422,"2024-02-08"
"S267","2","P61",707,"2024-05-07"
"S268","3","P61",454,"2024-01-04"
"S269","4","P61",667,"2024-02-18"
"S270","5","P61",500,"2024-08-19"
"S271","1","P63",286,"2023-06-17"
"S272","2","P63",517,"2023-11-30"
"S273","3","P63",954,"2024-02-08"
"S274","4","P63",233,"2024-02-11"
"S275","5","P63",514,"2023-10-15"
"S276","1","P64",330,"2024-06-06"
"S277","2","P64",208,"2023-12-13"
"S278","3","P64",713,"2023-05-17"
"S279","4","P64",250,"2024-07-25"
"S280","5","P64",19,"2023-05-16"
"S281","1","P65",745,"2024-02-11"
"S282","2","P65",199,"2024-05-03"
"S283","3","P65",770,"2023-12-16"
"S284","4","P65",69,"2023-06-03"
"S285","5","P65",60,"2023-10-21"
"S286","1","P66",454,"2024-07-27"
"S287","2","P66",608,"2024-02-22"
"S288","3","P66",764,"2023-12-18"
"S289","4","P66",370,"2024-03-16"
"S290","5","P66",345,"2023-12-27"
"S291","1","P67",300,"2024-09-11"
"S292","2","P67",824,"2024-09-05"
"S293","3","P67",226,"2024-06-03"
"S294","4","P67",668,"2023-08-22"
"S295","5","P67",59,"2024-01-05"
"S296","1","P68",315,"2024-08-19"
"S297","2","P68",359,"2023-05-30"
"S298","3","P68",113,"2023-06-08"
"S299","4","P68",787,"2024-03-10"
"S300","5","P68",215,"2023-11-06"
"S301","1","P69",581,"2024-09-16"
"S302","2","P69",896,"2023-12-10"
"S303","3","P69",553,"2024-06-10"
"S304","4","P69",222,"2024-08-10"
"S305","5","P69",887,"2024-08-27"
"S306","1","P70",829,"2024-03-29"
"S307","2","P70",734,"2024-02-05"
"S308","3","P70",394,"2024-10-03"
"S309","4","P70",380,"2024-08-31"
"S310","5","P70",571,"2023-11-15"
"S311","1","P71",847,"2024-02-09"
"S312","2","P71",705,"2024-07-28"
"S313","3","P71",416,"2024-05-09"
"S314","4","P71",803,"2024-06-15"
"S315","5","P71",231,"2024-03-01"
"S316","1","P72",638,"2023-08-01"
"S317","2","P72",951,"2023-07-08"
"S318","3","P72",593,"2024-06-07"
"S319","4","P72",702,"2023-11-22"
"S320","5","P72",599,"2024-10-22"
"S321","1","P73",330,"2023-07-08"
"S322","2","P73",955,"2023-10-23"
"S323","3","P73",990,"2024-10-20"
"S324","4","P73",813,"2023-06-24"
"S325","5","P73",299,"2024-11-14"
"S326","1","P74",103,"2024-07-22"
"S327","2","P74",435,"2023-05-11"
"S328","3","P74",422,"2023-07-11"
"S329","4","P74",248,"2023-05-31"
"S330","5","P74",689,"2024-03-04"
"S331","1","P75",815,"2023-07-06"
"S332","2","P75",611,"2023-06-03"
"S333","3","P75",891,"2024-07-13"
"S334","4","P75",100,"2024-02-09"
"S335","5","P75",548,"2024-10-27"
"S336","1","P76",828,"2023-06-05"
"S337","2","P76",727,"2023-05-04"
"S338","3","P76",715,"2024-08-05"
"S339","4","P76",9,"2023-08-15"
"S340","5","P76",556,"2023-12-08"
"S341","1","P78",717,"2024-07-27"
"S342","2","P78",470,"2024-09-03"
"S343","3","P78",760,"2023-07-26"
"S344","4","P78",425,"2023-09-15"
"S345","5","P78",208,"2024-06-05"
"S346","1","P79",993,"2023-11-20"
"S347","2","P79",635,"2024-02-09"
"S348","3","P79",292,"2024-05-06"
"S349","4","P79",487,"2024-03-11"
"S350","5","P79",402,"2024-05-22"
"S351","1","P80",791,"2023-05-17"
"S352","2","P80",873,"2024-08-26"
"S353","3","P80",732,"2023-05-30"
"S354","4","P80",804,"2023-05-03"
"S355","5","P80",101,"2023-10-25"
"S356","1","P81",523,"2024-04-18"
"S357","2","P81",818,"2023-09-27"
"S358","3","P81",909,"2024-06-27"
"S359","4","P81",867,"2023-07-27"
"S360","5","P81",917,"2023-05-04"
"S361","1","P82",994,"2024-06-05"
"S362","2","P82",673,"2024-02-25"
"S363","3","P82",899,"2024-07-27"
"S364","4","P82",78,"2023-07-11"
"S365","5","P82",695,"2023-07-30"
"S366","1","P83",266,"2023-11-04"
"S367","2","P83",572,"2023-12-26"
"S368","3","P83",828,"2023-08-08"
"S369","4","P83",378,"2023-05-15"
"S370","5","P83",482,"2024-09-08"
"S371","1","P84",606,"2023-05-10"
"S372","2","P84",159,"2024-06-02"
"S373","3","P84",539,"2023-10-31"
"S374","4","P84",564,"2023-11-11"
"S375","5","P84",273,"2024-09-29"
"S376","1","P85",580,"2023-12-04"
"S377","2","P85",816,"2023-06-03"
"S378","3","P85",169,"2023-05-05"
"S379","4","P85",352,"2023-10-01"
"S380","5","P85",575,"2024-02-06"
"S381","1","P86",539,"2023-07-16"
"S382","2","P86",38,"2024-06-13"
"S383","3","P86",314,"2023-08-09"
"S384","4","P86",699,"2023-10-01"
"S385","5","P86",637,"2024-01-18"
"S386","1","P87",289,"2024-11-12"
"S387","2","P87",679,"2024-07-31"
"S388","3","P87",283,"2024-03-14"
"S389","4","P87",504,"2023-07-08"
"S390","5","P87",835,"2023-07-23"
"S391","1","P88",364,"2024-07-15"
"S392","2","P88",798,"2023-09-03"
"S393","3","P88",864,"2023-09-18"
"S394","4","P88",879,"2023-07-01"
"S395","5","P88",287,"2023-05-03"
"S396","1","P89",644,"2024-06-30"
"S397","2","P89",451,"2023-11-13"
"S398","3","P89",966,"2024-06-28"
"S399","4","P89",961,"2024-08-16"
"S400","5","P89",518,"2024-06-06"
"S401","1","P90",493,"2023-07-14"
"S402","2","P90",90,"2023-11-06"
"S403","3","P90",196,"2024-05-23"
"S404","4","P90",47,"2024-06-12"
"S405","5","P90",980,"2024-04-02"
"S406","1","P91",846,"2024-03-16"
"S407","2","P91",461,"2024-10-19"
"S408","3","P91",287,"2024-08-05"
"S409","4","P91",448,"2024-03-16"
"S410","5","P91",384,"2023-10-19"
"S411","1","P93",127,"2024-01-20"
"S412","2","P93",118,"2023-11-18"
"S413","3","P93",122,"2024-10-04"
"S414","4","P93",80,"2023-07-26"
"S415","5","P93",475,"2023-11-23"
"S416","1","P94",960,"2024-02-12"
"S417","2","P94",703,"2024-02-14"
"S418","3","P94",153,"2023-10-29"
"S419","4","P94",636,"2024-02-05"
"S420","5","P94",240,"2023-11-01"
"S421","1","P95",639,"2024-09-04"
"S422","2","P95",131,"2024-07-22"
"S423","3","P95",808,"2023-07-22"
"S424","4","P95",528,"2023-07-16"
"S425","5","P95",226,"2024-03-29"
"S426","1","P96",770,"2023-12-08"
"S427","2","P96",370,"2024-06-12"
"S428","3","P96",942,"2024-05-27"
"S429","4","P96",534,"2024-05-17"
"S430","5","P96",533,"2024-08-15"
"S431","1","P97",545,"2023-07-08"
"S432","2","P97",795,"2024-06-19"
"S433","3","P97",89,"2024-09-16"
"S434","4","P97",341,"2023-10-29"
"S435","5","P97",641,"2024-03-07"
"S436","1","P98",559,"2023-06-19"
"S437","2","P98",859,"2024-06-06"
"S438","3","P98",39,"2024-05-01"
"S439","4","P98",234,"2024-04-11"
"S440","5","P98",807,"2024-02-26"
"S441","1","P100",451,"2024-03-05"
"S442","2","P100",51,"2024-05-29"
"S443","3","P100",680,"2024-03-08"
"S444","4","P100",666,"2023-06-22"
"S445","5","P100",289,"2024-08-14"
"S446","1","P101",368,"2023-07-19"
"S447","2","P101",626,"2024-02-18"
"S448","3","P101",497,"2024-09-04"
"S449","4","P101",483,"2023-12-09"
"S450","5","P101",986,"2024-09-22"
"S451","1","P102",605,"2024-08-09"
"S452","2","P102",152,"2024-10-19"
"S453","3","P102",978,"2024-07-28"
"S454","4","P102",286,"2024-03-06"
"S455","5","P102",980,"2024-05-17"
"S456","1","P103",379,"2023-05-28"
"S457","2","P103",549,"2023-07-19"
"S458","3","P103",279,"2024-09-05"
"S459","4","P103",910,"2023-09-05"
"S460","5","P103",304,"2023-05-31"
"S461","1","P104",345,"2023-08-31"
"S462","2","P104",393,"2024-01-22"
"S463","3","P104",431,"2023-12-15"
"S464","4","P104",465,"2023-05-08"
"S465","5","P104",628,"2024-01-28"
"S466","1","P105",300,"2024-05-24"
"S467","2","P105",623,"2023-10-11"
"S468","3","P105",106,"2023-06-16"
"S469","4","P105",838,"2024-02-21"
"S470","5","P105",185,"2024-09-21"
"S471","1","P106",496,"2024-05-21"
"S472","2","P106",617,"2024-01-17"
"S473","3","P106",466,"2024-02-04"
"S474","4","P106",948,"2023-09-25"
"S475","5","P106",761,"2024-01-15"
"S476","1","P107",588,"2024-06-08"
"S477","2","P107",515,"2024-07-20"
"S478","3","P107",116,"2023-06-18"
"S479","4","P107",705,"2023-11-10"
"S480","5","P107",608,"2023-08-21"
"S481","1","P108",208,"2024-03-26"
"S482","2","P108",224,"2024-02-27"
"S483","3","P108",600,"2023-06-28"
"S484","4","P108",535,"2023-11-14"
"S485","5","P108",967,"2024-02-17"
"S486","1","P109",84,"2024-03-20"
"S487","2","P109",315,"2023-06-06"
"S488","3","P109",230,"2024-03-05"
"S489","4","P109",893,"2023-05-21"
"S490","5","P109",749,"2023-08-10"
"S491","1","P110",119,"2024-06-10"
"S492","2","P110",151,"2024-07-07"
"S493","3","P110",353,"2024-10-30"
"S494","4","P110",513,"2024-07-25"
"S495","5","P110",974,"2023-08-16"
"S496","1","P111",918,"2024-01-13"
"S497","2","P111",87,"2024-05-27"
"S498","3","P111",841,"2024-06-17"
"S499","4","P111",193,"2023-05-03"
"S500","5","P111",124,"2023-06-01"
"S501","1","P113",178,"2024-03-10"
"S502","2","P113",905,"2023-08-24"
"S503","3","P113",407,"2024-10-26"
"S504","4","P113",387,"2023-07-13"
"S505","5","P113",80,"2024-06-23"
"S506","1","P114",319,"2024-03-09"
"S507","2","P114",428,"2024-01-13"
"S508","3","P114",194,"2023-10-25"
"S509","4","P114",922,"2023-07-14"
"S510","5","P114",673,"2023-10-20"
"S511","1","P115",488,"2024-08-25"
"S512","2","P115",706,"2024-07-30"
"S513","3","P115",867,"2023-10-23"
"S514","4","P115",369,"2024-06-05"
"S515","5","P115",995,"2023-08-09"
"S516","1","P116",990,"2024-09-29"
"S517","2","P116",850,"2024-01-16"
"S518","3","P116",102,"2023-12-23"
"S519","4","P116",325,"2023-08-09"
"S520","5","P116",465,"2024-06-29"
"S521","1","P117",318,"2024-02-09"
"S522","2","P117",724,"2023-06-23"
"S523","3","P117",387,"2024-04-10"
"S524","4","P117",467,"2023-10-30"
"S525","5","P117",574,"2023-09-12"
"S526","1","P118",90,"2023-05-25"
"S527","2","P118",496,"2024-01-29"
"S528","3","P118",683,"2024-01-17"
"S529","4","P118",300,"2023-07-10"
"S530","5","P118",338,"2023-12-14"
"S531","1","P119",424,"2024-04-16"
"S532","2","P119",706,"2023-11-11"
"S533","3","P119",562,"2024-04-05"
"S534","4","P119",601,"2024-09-09"
"S535","5","P119",924,"2024-05-14"
"S536","1","P120",347,"2023-08-12"
"S537","2","P120",831,"2024-08-08"
"S538","3","P120",561,"2024-08-27"
"S539","4","P120",370,"2023-11-04"
"S540","5","P120",885,"2023-10-31"
"S541","1","P121",204,"2024-08-04"
"S542","2","P121",322,"2024-03-23"
"S543","3","P121",973,"2023-11-01"
"S544","4","P121",237,"2024-02-19"
"S545","5","P121",741,"2024-04-20"
"S546","1","P122",758,"2023-05-04"
"S547","2","P122",564,"2024-02-03"
"S548","3","P122",515,"2024-02-22"
"S549","4","P122",388,"2024-10-04"
"S550","5","P122",20,"2023-10-25"
"S551","1","P123",857,"2024-04-17"
"S552","2","P123",425,"2024-10-12"
"S553","3","P123",963,"2023-11-22"
"S554","4","P123",528,"2024-09-16"
"S555","5","P123",167,"2023-09-28"
"S556","1","P124",201,"2024-01-08"
"S557","2","P124",148,"2024-04-13"
"S558","3","P124",66,"2024-09-23"
"S559","4","P124",670,"2023-10-28"
"S560","5","P124",65,"2023-07-19"
"S561","1","P125",344,"2023-05-30"
"S562","2","P125",688,"2024-08-14"
"S563","3","P125",794,"2023-09-04"
"S564","4","P125",928,"2024-04-08"
"S565","5","P125",889,"2024-08-09"
"S566","1","P126",256,"2023-11-17"
"S567","2","P126",388,"2024-05-21"
"S568","3","P126",908,"2023-10-09"
"S569","4","P126",856,"2023-05-13"
"S570","5","P126",638,"2024-07-16"
"S571","1","P127",306,"2024-05-12"
"S572","2","P127",829,"2023-06-02"
"S573","3","P127",984,"2024-02-01"
"S574","4","P127",525,"2023-10-26"
"S575","5","P127",672,"2024-09-25"
"S576","1","P128",372,"2023-09-01"
"S577","2","P128",115,"2024-04-29"
"S578","3","P128",474,"2024-01-29"
"S579","4","P128",222,"2024-03-25"
"S580","5","P128",62,"2024-01-27"
"S581","1","P129",309,"2024-03-06"
"S582","2","P129",220,"2023-05-02"
"S583","3","P129",537,"2024-02-13"
"S584","4","P129",493,"2024-05-29"
"S585","5","P129",428,"2023-10-04"
"S586","1","P130",443,"2024-08-22"
"S587","2","P130",410,"2024-06-14"
"S588","3","P130",171,"2024-08-25"
"S589","4","P130",500,"2024-02-18"
"S590","5","P130",885,"2023-10-10"
"S591","1","P131",13,"2023-10-17"
"S592","2","P131",518,"2024-06-18"
"S593","3","P131",999,"2024-10-20"
"S594","4","P131",795,"2023-12-15"
"S595","5","P131",432,"2024-09-22"
"S596","1","P132",750,"2023-05-27"
"S597","2","P132",93,"2024-05-15"
"S598","3","P132",230,"2023-10-18"
"S599","4","P132",948,"2024-09-24"
"S600","5","P132",691,"2024-07-28"
"S601","1","P133",10,"2024-03-10"
"S602","2","P133",260,"2024-01-19"
"S603","3","P133",151,"2023-11-01"
"S604","4","P133",20,"2024-03-06"
"S605","5","P133",588,"2023-12-28"
"S606","1","P134",652,"2023-12-23"
"S607","2","P134",284,"2024-11-14"
"S608","3","P134",95,"2024-03-20"
"S609","4","P134",772,"2024-08-03"
"S610","5","P134",440,"2024-05-07"
"S611","1","P135",946,"2024-05-01"
"S612","2","P135",789,"2024-03-15"
"S613","3","P135",392,"2023-06-10"
"S614","4","P135",925,"2024-11-08"
"S615","5","P135",99,"2023-12-01"
"S616","1","P136",1,"2023-06-25"
"S617","2","P136",620,"2024-05-26"
"S618","3","P136",313,"2023-12-02"
"S619","4","P136",868,"2024-05-25"
"S620","5","P136",964,"2024-09-17"
"S621","1","P137",324,"2024-09-18"
"S622","2","P137",374,"2023-09-15"
"S623","3","P137",859,"2024-06-04"
"S624","4","P137",259,"2023-09-29"
"S625","5","P137",409,"2024-10-18"
"S626","1","P138",987,"2023-07-26"
"S627","2","P138",259,"2023-05-25"
"S628","3","P138",762,"2023-05-09"
"S629","4","P138",757,"2024-03-18"
"S630","5","P138",121,"2024-07-05"
"S631","1","P139",812,"2024-06-03"
"S632","2","P139",804,"2024-01-15"
"S633","3","P139",517,"2024-10-12"
"S634","4","P139",607,"2024-11-04"
"S635","5","P139",127,"2024-07-31"
"S636","1","P140",643,"2024-10-05"
"S637","2","P140",717,"2023-06-17"
"S638","3","P140",559,"2024-06-26"
"S639","4","P140",919,"2024-08-12"
"S640","5","P140",895,"2024-10-29"
"S641","1","P141",317,"2024-09-01"
"S642","2","P141",890,"2024-07-03"
"S643","3","P141",470,"2024-11-09"
"S644","4","P141",586,"2023-06-04"
"S645","5","P141",747,"2023-06-07"
"S646","1","P142",802,"2024-07-02"
"S647","2","P142",692,"2024-07-25"
"S648","3","P142",813,"2024-01-21"
"S649","4","P142",213,"2023-08-08"
"S650","5","P142",995,"2024-11-06"
"S651","1","P143",152,"2023-09-18"
"S652","2","P143",869,"2023-06-16"
"S653","3","P143",240,"2024-05-07"
"S654","4","P143",105,"2024-03-18"
"S655","5","P143",661,"2023-08-15"
"S656","1","P144",406,"2023-05-21"
"S657","2","P144",752,"2023-05-28"
"S658","3","P144",171,"2024-09-21"
"S659","4","P144",133,"2024-09-08"
"S660","5","P144",863,"2023-11-22"
"S661","1","P145",250,"2023-11-23"
"S662","2","P145",288,"2024-10-16"
"S663","3","P145",817,"2023-09-02"
"S664","4","P145",468,"2023-08-24"
"S665","5","P145",28,"2024-10-20"
"S666","1","P146",859,"2024-10-16"
"S667","2","P146",747,"2023-06-23"
"S668","3","P146",36,"2023-08-18"
"S669","4","P146",173,"2023-05-27"
"S670","5","P146",384,"2024-10-21"
"S671","1","P147",898,"2024-07-31"
"S672","2","P147",599,"2024-02-29"
"S673","3","P147",759,"2023-09-13"
"S674","4","P147",394,"2024-05-18"
"S675","5","P147",34,"2024-01-27"
"S676","1","P148",227,"2024-08-27"
"S677","2","P148",992,"2023-12-12"
"S678","3","P148",915,"2024-10-22"
"S679","4","P148",749,"2023-10-02"
"S680","5","P148",801,"2024-02-05"
"S681","1","P149",595,"2024-05-26"
"S682","2","P149",194,"2024-08-08"
"S683","3","P149",3,"2024-07-15"
"S684","4","P149",415,"2024-04-01"
"S685","5","P149",176,"2024-07-24"
"S686","1","P150",361,"2024-09-14"
"S687","2","P150",722,"2024-10-26"
"S688","3","P150",796,"2024-03-17"
"S689","4","P150",261,"2024-05-05"
"S690","5","P150",274,"2024-06-06"
"S691","1","P151",721,"2023-07-31"
"S692","2","P151",339,"2024-02-28"
"S693","3","P151",289,"2023-06-21"
"S694","4","P151",229,"2024-03-30"
"S695","5","P151",285,"2023-11-19"
"S696","1","P152",783,"2023-10-28"
"S697","2","P152",194,"2023-09-20"
