"product_id","vendor_id","supply_frequency"
"P97","V28","Weekly"
"P98","V6","Quarterly"
"P99","V3","Quarterly"
"P100","V27","Monthly"
"P101","V18","Daily"
"P102","V25","Bi-weekly"
"P103","V19","Daily"
"P104","V14","Bi-weekly"
"P105","V28","Bi-weekly"
"P106","V29","Daily"
"P107","V19","On-Demand"
"P108","V27","Bi-weekly"
"P109","V3","Bi-weekly"
"P110","V9","Quarterly"
"P111","V4","Quarterly"
"P112","V20","Monthly"
"P113","V5","Monthly"
"P114","V28","Monthly"
"P115","V23","Bi-weekly"
"P116","V26","Daily"
"P117","V27","Bi-weekly"
"P118","V16","Weekly"
"P119","V10","Bi-weekly"
"P120","V2","Bi-weekly"
"P121","V10","Weekly"
"P122","V28","Quarterly"
"P123","V24","Bi-weekly"
"P124","V15","Weekly"
"P125","V20","Quarterly"
"P126","V3","On-Demand"
"P127","V5","Monthly"
"P128","V22","Weekly"
"P129","V18","Bi-weekly"
"P130","V11","Quarterly"
"P131","V5","Daily"
"P132","V26","Monthly"
"P133","V7","Weekly"
"P134","V26","Quarterly"
"P135","V26","Daily"
"P136","V16","Weekly"
"P137","V22","Monthly"
"P138","V24","Quarterly"
"P139","V21","Weekly"
"P140","V8","Monthly"
"P141","V21","Quarterly"
"P142","V24","Weekly"
"P143","V19","Quarterly"
"P144","V28","Bi-weekly"
"P145","V22","Daily"
"P146","V15","Monthly"
"P147","V4","Bi-weekly"
"P148","V15","Quarterly"
"P149","V11","Quarterly"
"P150","V3","Monthly"
"P151","V16","Weekly"
"P152","V27","Daily"
"P153","V2","Monthly"
"P154","V5","Monthly"
"P155","V30","Daily"
"P156","V16","Quarterly"
"P157","V7","Monthly"
"P158","V11","Monthly"
"P159","V29","Bi-weekly"
"P160","V28","Monthly"
"P161","V6","Bi-weekly"
"P162","V18","Daily"
"P163","V21","Weekly"
"P164","V23","Bi-weekly"
"P165","V18","Bi-weekly"
"P166","V3","Quarterly"
"P167","V19","On-Demand"
"P168","V3","Bi-weekly"
"P169","V27","Monthly"
"P170","V17","Quarterly"
"P171","V5","Quarterly"
"P172","V5","Monthly"
"P173","V16","Daily"
"P174","V28","Bi-weekly"
"P175","V6","Daily"
"P176","V17","Monthly"
"P177","V4","Monthly"
"P178","V9","Bi-weekly"
"P179","V23","Weekly"
"P180","V11","Daily"
"P181","V22","On-Demand"
"P182","V18","Monthly"
"P183","V20","Quarterly"
"P184","V21","Daily"
"P185","V1","Monthly"
"P186","V23","Quarterly"
"P187","V19","Weekly"
"P188","V9","Bi-weekly"
"P189","V22","Daily"
"P190","V10","Monthly"
"P191","V11","Daily"
"P192","V11","Bi-weekly"
"P193","V14","Bi-weekly"
"P194","V3","Weekly"
"P195","V13","Weekly"
"P196","V19","Monthly"
"P197","V10","Quarterly"
"P198","V17","Bi-weekly"
"P199","V12","Bi-weekly"
"P200","V9","Daily"
"P201","V10","Monthly"
"P202","V22","Weekly"
"P203","V25","On-Demand"
"P204","V1","Daily"
"P205","V3","Bi-weekly"
"P206","V13","Monthly"
"P207","V7","Bi-weekly"
"P208","V4","Bi-weekly"
"P209","V25","Weekly"
"P210","V14","Weekly"
"P211","V25","Monthly"
"P212","V7","Monthly"
"P213","V7","Daily"
"P214","V7","Monthly"
"P215","V6","Daily"
"P216","V3","On-Demand"
"P217","V14","Daily"
"P218","V21","Daily"
"P219","V7","Daily"
"P220","V8","Bi-weekly"
"P221","V30","Quarterly"
"P222","V2","Monthly"
"P223","V28","Daily"
"P224","V28","Bi-weekly"
"P225","V13","Daily"
"P226","V9","Monthly"
"P227","V2","Quarterly"
"P228","V1","Quarterly"
"P229","V4","Quarterly"
"P230","V15","Bi-weekly"
"P231","V22","Quarterly"
"P232","V4","Weekly"
"P233","V12","Weekly"
"P234","V29","Daily"
"P235","V27","Weekly"
"P236","V15","Daily"
"P237","V29","Monthly"
"P238","V4","Weekly"
"P239","V21","Daily"
"P240","V7","Bi-weekly"
"P241","V15","Bi-weekly"
"P242","V12","On-Demand"
"P243","V4","On-Demand"
"P244","V29","Daily"
"P245","V26","Bi-weekly"
"P246","V11","Monthly"
"P247","V29","Weekly"
"P248","V18","On-Demand"
"P249","V1","Bi-weekly"
"P250","V7","Daily"
"P251","V30","Bi-weekly"
"P252","V9","Daily"
"P253","V15","Daily"
"P254","V2","Quarterly"
"P255","V20","Bi-weekly"
"P256","V21","Quarterly"
"P257","V6","Quarterly"
"P258","V30","Bi-weekly"
"P259","V26","Daily"
"P260","V30","Bi-weekly"
"P261","V19","On-Demand"
"P262","V12","Monthly"
"P263","V11","Monthly"
"P264","V25","Bi-weekly"
"P265","V9","Bi-weekly"
"P266","V23","Weekly"
"P267","V23","Monthly"
"P268","V27","Quarterly"
"P269","V20","Daily"
"P270","V27","Bi-weekly"
"P271","V6","Bi-weekly"
"P272","V14","Monthly"
"P273","V24","Weekly"
"P274","V14","Quarterly"
"P275","V8","Bi-weekly"
"P276","V4","Bi-weekly"
"P277","V26","Daily"
"P278","V27","Daily"
"P279","V15","Daily"
"P280","V26","Bi-weekly"
"P281","V26","Weekly"
"P282","V21","On-Demand"
"P283","V30","Weekly"
"P284","V21","Bi-weekly"
"P285","V19","Quarterly"
"P286","V23","Daily"
"P287","V3","Quarterly"
"P288","V16","Quarterly"
"P289","V16","Daily"
"P290","V16","Daily"
"P291","V23","Daily"
"P292","V29","Bi-weekly"
"P293","V26","Daily"
"P294","V22","Quarterly"
"P295","V3","Daily"
"P296","V18","Quarterly"
"P297","V12","Monthly"
"P298","V20","Weekly"
"P299","V5","Weekly"
"P300","V20","Quarterly"
"P301","V2","Weekly"
"P302","V2","Daily"
"P303","V26","Bi-weekly"
"P304","V8","On-Demand"
"P305","V16","Bi-weekly"
"P306","V14","Bi-weekly"
"P307","V2","Quarterly"
"P308","V16","On-Demand"
"P309","V26","Weekly"
"P310","V10","Daily"
"P311","V7","Weekly"
"P312","V17","Weekly"
"P313","V15","Weekly"
"P314","V30","Weekly"
"P315","V11","Monthly"
"P316","V15","Monthly"
"P317","V9","Quarterly"
"P318","V21","Monthly"
"P319","V1","Weekly"
"P320","V11","Daily"
"P321","V24","On-Demand"
"P322","V11","Bi-weekly"
"P323","V29","Monthly"
"P324","V6","Bi-weekly"
"P325","V25","Monthly"
"P326","V25","Bi-weekly"
"P327","V4","Monthly"
"P328","V17","Monthly"
"P329","V25","Daily"
"P330","V21","Weekly"
"P331","V15","Quarterly"
"P332","V14","Bi-weekly"
"P333","V1","Quarterly"
"P334","V22","Quarterly"
"P335","V30","Quarterly"
"P336","V15","Daily"
"P337","V18","On-Demand"
"P338","V13","Bi-weekly"
"P339","V11","Weekly"
"P340","V8","Bi-weekly"
"P341","V6","On-Demand"
"P342","V11","Monthly"
"P343","V13","Bi-weekly"
"P344","V13","Quarterly"
"P345","V6","Bi-weekly"
"P346","V15","Daily"
"P347","V11","Weekly"
"P348","V11","Weekly"
"P349","V6","Monthly"
"P350","V27","Bi-weekly"
"P351","V7","Monthly"
"P352","V5","Weekly"
"P353","V18","Bi-weekly"
"P354","V21","Quarterly"
"P355","V20","Bi-weekly"
"P356","V9","Monthly"
"P357","V15","Quarterly"
"P358","V23","Daily"
"P359","V14","Quarterly"
"P360","V10","Weekly"
"P361","V12","Bi-weekly"
"P362","V7","Quarterly"
"P363","V4","Daily"
"P364","V2","Weekly"
"P365","V28","Bi-weekly"
"P366","V1","Bi-weekly"
"P367","V12","Quarterly"
"P368","V26","Quarterly"
"P369","V12","Quarterly"
"P370","V15","Daily"
"P371","V9","Bi-weekly"
"P372","V20","On-Demand"
"P373","V23","Bi-weekly"
"P374","V19","Quarterly"
"P375","V17","Monthly"
"P376","V1","Monthly"
"P377","V27","Bi-weekly"
"P378","V26","Weekly"
"P379","V10","Monthly"
"P380","V16","Daily"
"P381","V1","Weekly"
"P382","V26","Weekly"
"P383","V12","Monthly"
"P384","V27","Monthly"
"P385","V22","Quarterly"
"P386","V2","Quarterly"
"P387","V15","Daily"
"P388","V20","Bi-weekly"
"P389","V22","Quarterly"
"P390","V16","Bi-weekly"
"P391","V18","Daily"
"P392","V2","Monthly"
"P393","V29","On-Demand"
"P394","V8","Quarterly"
"P395","V26","Bi-weekly"
"P396","V24","Quarterly"
"P397","V13","Weekly"
"P398","V26","Monthly"
"P399","V1","Weekly"
"P400","V4","Daily"
"P401","V12","Quarterly"
"P402","V15","Quarterly"
"P403","V29","Quarterly"
"P404","V9","Weekly"
"P405","V1","Weekly"
"P406","V26","Weekly"
"P407","V1","Weekly"
"P408","V8","Quarterly"
"P409","V7","Weekly"
"P410","V26","Bi-weekly"
"P411","V1","Quarterly"
"P412","V20","Daily"
"P413","V17","Quarterly"
"P414","V12","Weekly"
"P415","V5","Daily"
"P416","V11","Quarterly"
"P417","V24","Weekly"
"P418","V28","Bi-weekly"
"P419","V12","Bi-weekly"
"P420","V9","Daily"
"P421","V14","Daily"
"P422","V5","Quarterly"
"P423","V11","Bi-weekly"
"P424","V8","Monthly"
"P425","V2","Weekly"
"P426","V3","Quarterly"
"P427","V17","Bi-weekly"
"P428","V5","Daily"
"P429","V17","Quarterly"
"P430","V26","Daily"
"P431","V4","Daily"
"P432","V28","Monthly"
"P433","V7","Daily"
"P434","V20","Quarterly"
"P435","V23","Monthly"
"P436","V9","Daily"
"P437","V11","Daily"
"P438","V27","Monthly"
"P439","V28","Bi-weekly"
"P440","V9","Quarterly"
"P441","V22","Weekly"
"P442","V20","Monthly"
"P443","V16","Bi-weekly"
"P444","V22","On-Demand"
"P445","V4","Monthly"
"P446","V2","Weekly"
"P447","V13","Bi-weekly"
"P448","V23","Daily"
"P449","V17","Quarterly"
"P450","V11","Monthly"
"P451","V27","Weekly"
"P452","V6","Bi-weekly"
"P453","V18","Monthly"
"P454","V29","Weekly"
"P455","V7","Bi-weekly"
"P456","V20","Weekly"
"P457","V1","Weekly"
"P458","V1","Weekly"
"P459","V6","Quarterly"
"P460","V29","Quarterly"
"P461","V23","Quarterly"
"P462","V4","Weekly"
"P463","V13","Monthly"
"P464","V7","Monthly"
"P465","V11","Weekly"
"P466","V29","Quarterly"
"P467","V27","Monthly"
"P468","V23","Bi-weekly"
"P469","V20","Quarterly"
"P470","V5","Monthly"
"P471","V11","Bi-weekly"
"P472","V3","Bi-weekly"
"P473","V30","Weekly"
"P474","V27","Weekly"
"P475","V14","Quarterly"
"P476","V4","Monthly"
"P477","V17","On-Demand"
"P478","V4","Daily"
"P479","V11","Quarterly"
"P480","V14","Monthly"
"P481","V25","Weekly"
"P482","V6","Daily"
"P483","V25","Daily"
"P484","V10","Daily"
"P485","V8","On-Demand"
"P486","V19","Monthly"
"P487","V25","Quarterly"
"P488","V26","Daily"
"P489","V19","Bi-weekly"
"P490","V29","Daily"
"P491","V13","Bi-weekly"
"P492","V11","Daily"
"P493","V13","Bi-weekly"
"P494","V25","Monthly"
"P495","V15","Monthly"
"P496","V22","Quarterly"
"P497","V1","Monthly"
"P498","V17","Daily"
"P499","V19","Weekly"
"P500","V4","Monthly"
"P501","V19","Daily"
"P502","V28","Bi-weekly"
"P503","V4","Bi-weekly"
"P504","V23","Bi-weekly"
"P505","V16","Monthly"
"P506","V14","Quarterly"
"P507","V10","Bi-weekly"
"P508","V4","Bi-weekly"
"P509","V30","Bi-weekly"
"P510","V1","Daily"
"P511","V29","On-Demand"
"P512","V4","Weekly"
"P513","V13","Weekly"
"P514","V11","Weekly"
"P515","V25","Weekly"
"P516","V26","Weekly"
"P517","V11","Bi-weekly"
"P518","V28","Weekly"
"P519","V24","Weekly"
"P520","V15","On-Demand"
"P521","V14","Bi-weekly"
"P522","V12","Bi-weekly"
"P523","V14","Bi-weekly"
"P524","V5","Daily"
"P525","V16","Quarterly"
"P526","V5","Quarterly"
"P527","V23","Monthly"
"P528","V26","Quarterly"
"P529","V12","Weekly"
"P530","V27","Bi-weekly"
"P531","V1","Daily"
"P532","V6","Quarterly"
"P533","V30","Quarterly"
"P534","V11","Bi-weekly"
"P535","V27","On-Demand"
"P536","V6","Monthly"
"P537","V17","Daily"
"P538","V10","On-Demand"
"P539","V24","Daily"
"P540","V8","Quarterly"
"P541","V17","Monthly"
"P542","V7","Daily"
"P543","V29","Monthly"
"P544","V14","Quarterly"
"P545","V2","Quarterly"
"P546","V29","Weekly"
"P547","V16","Bi-weekly"
"P548","V16","Daily"
"P549","V15","Quarterly"
"P550","V10","Bi-weekly"
"P551","V12","Bi-weekly"
"P552","V11","Daily"
"P553","V22","Daily"
"P554","V16","Monthly"
"P555","V7","Daily"
"P556","V17","Quarterly"
"P557","V28","Bi-weekly"
"P558","V5","Daily"
"P559","V28","Bi-weekly"
"P560","V24","Bi-weekly"
"P561","V6","Bi-weekly"
"P562","V6","On-Demand"
"P563","V13","Weekly"
"P564","V21","Monthly"
"P565","V25","Bi-weekly"
"P566","V14","Weekly"
"P567","V14","Monthly"
"P568","V28","Monthly"
"P569","V6","Daily"
"P570","V17","Quarterly"
"P571","V5","Quarterly"
"P572","V6","Bi-weekly"
"P573","V4","Bi-weekly"
"P574","V26","Weekly"
"P575","V2","Monthly"
"P576","V16","Daily"
"P577","V25","Daily"
"P578","V12","Daily"
"P579","V23","Quarterly"
"P580","V15","Weekly"
"P581","V22","Bi-weekly"
"P582","V27","Daily"
"P583","V6","Monthly"
"P584","V2","Bi-weekly"
"P585","V7","Monthly"
"P586","V21","Monthly"
"P587","V27","Daily"
"P588","V10","Daily"
"P589","V26","Quarterly"
"P590","V22","Bi-weekly"
"P591","V21","Weekly"
"P592","V20","Monthly"
"P593","V2","Quarterly"
"P594","V7","Bi-weekly"
"P595","V25","Quarterly"
"P596","V6","Bi-weekly"
"P597","V22","Monthly"
"P598","V23","On-Demand"
"P599","V18","Quarterly"
"P600","V15","Bi-weekly"
"P601","V6","Daily"
"P602","V18","Weekly"
"P603","V30","Bi-weekly"
"P604","V28","Bi-weekly"
"P605","V11","On-Demand"
"P606","V18","Monthly"
"P607","V23","On-Demand"
"P608","V21","Quarterly"
"P609","V25","Quarterly"
"P610","V26","Quarterly"
"P611","V7","Monthly"
"P612","V21","Bi-weekly"
"P613","V30","Monthly"
"P614","V30","Weekly"
"P615","V20","Weekly"
"P616","V16","Quarterly"
"P617","V3","Bi-weekly"
"P618","V27","Quarterly"
"P619","V23","Monthly"
"P620","V13","Monthly"
"P621","V25","Weekly"
"P622","V7","Monthly"
"P623","V4","Weekly"
"P624","V13","Quarterly"
"P625","V14","Bi-weekly"
"P626","V18","Monthly"
"P627","V19","Daily"
"P628","V7","Monthly"
"P629","V14","Weekly"
"P630","V11","Daily"
"P631","V24","Bi-weekly"
"P632","V11","Weekly"
"P633","V11","Quarterly"
"P634","V16","Monthly"
"P635","V30","Monthly"
"P636","V19","Quarterly"
"P637","V11","On-Demand"
"P638","V26","Quarterly"
"P639","V14","Quarterly"
"P640","V29","Monthly"
"P641","V14","Monthly"
"P642","V17","Bi-weekly"
"P643","V21","Bi-weekly"
"P644","V17","Monthly"
"P645","V16","Weekly"
"P646","V27","Bi-weekly"
"P647","V4","Bi-weekly"
"P648","V2","Quarterly"
"P649","V20","Quarterly"
"P650","V4","Daily"
"P651","V8","Quarterly"
"P652","V24","Quarterly"
"P653","V21","Quarterly"
"P654","V17","Bi-weekly"
"P655","V29","Weekly"
"P656","V14","Weekly"
"P657","V26","Bi-weekly"
"P658","V12","Quarterly"
"P659","V11","Weekly"
"P660","V10","Daily"
"P661","V28","Daily"
"P662","V13","Bi-weekly"
"P663","V1","Daily"
"P664","V29","Bi-weekly"
"P665","V24","On-Demand"
"P666","V18","Daily"
"P667","V30","On-Demand"
"P668","V27","Daily"
"P669","V6","Monthly"
"P670","V20","Daily"
"P671","V23","Weekly"
"P672","V30","Quarterly"
"P673","V6","Monthly"
"P674","V7","Quarterly"
"P675","V2","Monthly"
"P676","V8","Bi-weekly"
"P677","V19","Monthly"
"P678","V6","Daily"
"P679","V14","Daily"
"P680","V13","Quarterly"
"P681","V26","Quarterly"
"P682","V13","Monthly"
"P683","V27","Daily"
"P684","V30","Bi-weekly"
"P685","V24","Bi-weekly"
"P686","V6","Daily"
"P687","V11","Bi-weekly"
"P688","V5","Daily"
"P689","V4","Weekly"
"P690","V22","Bi-weekly"
"P691","V19","Bi-weekly"
"P692","V8","Quarterly"
"P693","V6","Quarterly"
"P694","V20","Quarterly"
"P695","V14","Quarterly"
"P696","V8","Bi-weekly"
"P697","V13","Bi-weekly"
"P698","V18","Weekly"
"P699","V1","Quarterly"
"P700","V30","Bi-weekly"
"P701","V17","Daily"
"P702","V5","Daily"
"P703","V9","Bi-weekly"
"P704","V12","Weekly"
"P705","V26","Monthly"
"P706","V22","Daily"
"P707","V16","Quarterly"
"P708","V16","Weekly"
"P709","V3","Quarterly"
"P710","V21","Daily"
"P711","V14","Weekly"
"P712","V12","Weekly"
"P713","V16","Daily"
"P714","V11","Bi-weekly"
"P715","V8","Quarterly"
"P716","V11","Weekly"
"P717","V28","Daily"
"P718","V7","On-Demand"
"P719","V4","Bi-weekly"
"P720","V14","Quarterly"
"P721","V30","Quarterly"
"P722","V30","On-Demand"
"P723","V26","Monthly"
"P724","V6","Weekly"
"P725","V16","On-Demand"
"P726","V8","Quarterly"
"P727","V12","Quarterly"
"P728","V3","Weekly"
"P729","V6","Quarterly"
"P730","V25","Monthly"
"P731","V17","Weekly"
"P732","V1","Bi-weekly"
"P733","V11","Quarterly"
"P734","V27","Monthly"
"P735","V29","Monthly"
"P736","V5","Bi-weekly"
"P737","V30","Daily"
"P738","V13","Daily"
"P739","V3","Daily"
"P740","V9","Bi-weekly"
"P741","V29","On-Demand"
"P742","V27","Bi-weekly"
"P743","V5","Weekly"
"P744","V13","Quarterly"
"P745","V7","Quarterly"
"P746","V23","Daily"
"P747","V21","Monthly"
"P748","V29","Daily"
"P749","V3","Quarterly"
"P750","V11","Bi-weekly"
"P751","V25","Bi-weekly"
"P752","V26","Quarterly"
"P753","V3","Daily"
"P754","V7","Daily"
"P755","V27","Weekly"
"P756","V6","Monthly"
"P757","V27","Monthly"
"P758","V15","Quarterly"
"P759","V26","Daily"
"P760","V7","Monthly"
"P761","V8","Weekly"
"P762","V14","Weekly"
"P763","V26","Monthly"
"P764","V8","Daily"
"P765","V12","Bi-weekly"
"P766","V28","Quarterly"
"P767","V9","Daily"
"P768","V23","Monthly"
"P769","V19","Monthly"
"P770","V15","On-Demand"
"P771","V11","Weekly"
"P772","V23","Daily"
"P773","V30","Daily"
"P774","V13","Weekly"
"P775","V24","Weekly"
"P776","V28","Monthly"
"P777","V13","Monthly"
"P778","V14","Daily"
"P779","V10","Weekly"
"P780","V14","Weekly"
"P781","V17","Quarterly"
"P782","V2","Weekly"
"P783","V23","Weekly"
"P784","V1","Daily"
"P785","V28","Quarterly"
"P786","V15","Daily"
"P787","V1","Daily"
"P788","V8","Daily"
"P789","V24","Bi-weekly"
"P790","V30","Quarterly"
"P791","V8","Bi-weekly"
"P792","V26","Weekly"
"P793","V2","Bi-weekly"
"P794","V9","Daily"
"P795","V27","Bi-weekly"
"P796","V7","Quarterly"
"P797","V21","Weekly"
"P798","V19","Monthly"
"P799","V7","Weekly"
"P800","V23","Monthly"
"P801","V23","Daily"
"P802","V7","Weekly"
"P803","V30","Monthly"
"P804","V14","Monthly"
"P805","V7","Monthly"
"P806","V5","Quarterly"
"P807","V12","Monthly"
"P808","V18","Monthly"
"P809","V2","Daily"
"P810","V2","Daily"
"P811","V26","Monthly"
"P812","V1","Daily"
"P813","V7","Quarterly"
"P814","V26","Bi-weekly"
"P815","V11","Monthly"
"P816","V25","Weekly"
"P817","V9","Bi-weekly"
"P818","V5","Weekly"
"P819","V1","Weekly"
"P820","V8","Bi-weekly"
"P821","V19","Bi-weekly"
"P822","V14","Bi-weekly"
"P823","V25","Weekly"
"P824","V23","Quarterly"
"P825","V13","Weekly"
"P826","V18","Quarterly"
"P827","V28","Bi-weekly"
"P828","V7","Quarterly"
"P829","V14","Bi-weekly"
"P830","V4","Quarterly"
"P831","V4","Daily"
"P832","V14","Quarterly"
"P833","V24","Bi-weekly"
"P834","V2","Monthly"
"P835","V6","Daily"
"P836","V8","Quarterly"
"P837","V30","Quarterly"
"P838","V8","Quarterly"
"P839","V21","On-Demand"
"P840","V16","Weekly"
"P841","V26","Monthly"
"P842","V1","Weekly"
"P843","V21","Bi-weekly"
"P844","V14","Monthly"
"P845","V15","Weekly"
"P846","V14","Daily"
"P847","V14","Monthly"
"P848","V5","Weekly"
"P849","V17","Bi-weekly"
"P850","V12","Quarterly"
"P851","V23","Weekly"
"P852","V23","Weekly"
"P853","V8","Quarterly"
"P854","V7","Monthly"
"P855","V28","Weekly"
"P856","V26","Weekly"
"P857","V22","Quarterly"
"P858","V23","Quarterly"
"P859","V14","Monthly"
"P860","V27","Daily"
"P861","V3","Daily"
"P862","V30","Bi-weekly"
"P863","V16","Daily"
"P864","V28","Quarterly"
"P865","V2","Monthly"
"P866","V7","Weekly"
"P867","V11","Bi-weekly"
"P868","V25","Quarterly"
"P869","V21","Quarterly"
"P870","V28","Monthly"
"P871","V25","Quarterly"
"P872","V23","Bi-weekly"
"P873","V18","Bi-weekly"
"P874","V17","Quarterly"
"P875","V19","Monthly"
"P876","V27","Daily"
"P877","V10","Quarterly"
"P878","V4","Quarterly"
"P879","V3","Weekly"
"P880","V28","Monthly"
"P881","V21","Monthly"
"P882","V13","Weekly"
"P883","V16","Daily"
"P884","V29","Daily"
"P885","V29","Weekly"
"P886","V10","Daily"
"P887","V6","On-Demand"
"P888","V14","Weekly"
"P889","V28","Weekly"
"P890","V15","Daily"
"P891","V29","Weekly"
"P892","V1","Daily"
"P893","V14","Bi-weekly"
"P894","V23","Monthly"
"P895","V19","Weekly"
"P896","V30","Weekly"
"P897","V21","Quarterly"
"P898","V10","On-Demand"
"P899","V29","Daily"
"P900","V20","Monthly"
"P901","V27","Daily"
"P902","V23","Daily"
"P903","V12","On-Demand"
"P904","V5","Weekly"
"P905","V22","Quarterly"
"P906","V18","On-Demand"
"P907","V30","Daily"
"P908","V29","Quarterly"
"P909","V4","Quarterly"
"P910","V24","Quarterly"
"P911","V7","Weekly"
"P912","V10","Weekly"
"P913","V2","Bi-weekly"
"P914","V9","Bi-weekly"
"P915","V17","Monthly"
"P916","V4","Monthly"
"P917","V26","Quarterly"
"P918","V10","Weekly"
"P919","V30","Daily"
"P920","V18","Daily"
"P921","V23","Weekly"
"P922","V8","Weekly"
"P923","V1","Weekly"
"P924","V4","Daily"
"P925","V19","Monthly"
"P926","V4","Monthly"
"P927","V11","Daily"
"P928","V5","Quarterly"
"P929","V25","Bi-weekly"
"P930","V23","Monthly"
"P931","V23","Weekly"
"P932","V7","Weekly"
"P933","V22","Bi-weekly"
"P934","V25","Weekly"
"P935","V7","Weekly"
"P936","V4","Daily"
"P937","V2","Monthly"
"P938","V8","Quarterly"
"P939","V15","Weekly"
"P940","V12","Daily"
"P941","V24","Daily"
"P942","V16","Monthly"
"P943","V9","Monthly"
"P944","V16","Weekly"
"P945","V3","Bi-weekly"
"P946","V27","Weekly"
"P947","V8","Weekly"
"P948","V10","Monthly"
"P949","V3","Quarterly"
"P950","V22","Quarterly"
"P951","V12","Bi-weekly"
"P952","V1","Weekly"
"P953","V21","Quarterly"
"P954","V8","Daily"
"P955","V10","Quarterly"
"P956","V14","Monthly"
"P957","V12","Monthly"
"P958","V28","Weekly"
"P959","V12","Daily"
"P960","V16","Daily"
"P961","V4","Monthly"
"P962","V9","Weekly"
"P963","V30","Quarterly"
"P964","V26","Monthly"
"P965","V21","Bi-weekly"
"P966","V12","Monthly"
"P967","V11","Weekly"
"P968","V14","Quarterly"
"P969","V26","Monthly"
"P970","V30","Monthly"
"P971","V3","Quarterly"
"P972","V30","Weekly"
"P973","V8","Bi-weekly"
"P974","V13","Monthly"
"P975","V16","Monthly"
"P976","V24","Daily"
"P977","V11","Weekly"
"P978","V18","Quarterly"
"P979","V4","Weekly"
"P980","V10","Quarterly"
"P981","V17","Weekly"
"P982","V23","Weekly"
"P983","V30","Bi-weekly"
"P984","V29","Daily"
"P985","V7","Bi-weekly"
"P986","V28","Weekly"
"P987","V30","Bi-weekly"
"P988","V17","Quarterly"
"P989","V2","Bi-weekly"
"P990","V10","Daily"
"P991","V24","Quarterly"
"P992","V21","Monthly"
"P993","V16","Quarterly"
"P994","V7","Quarterly"
"P995","V18","Monthly"
"P996","V12","Quarterly"
"P997","V14","Daily"
"P998","V1","Daily"
"P999","V20","Bi-weekly"
"P1000","V10","Bi-weekly"
"P1001","V21","Quarterly"
"P1002","V19","Monthly"
"P1003","V25","Daily"
"P1004","V16","Quarterly"
"P1005","V21","Daily"
"P1006","V3","Weekly"
"P1007","V2","Weekly"
"P1008","V27","Monthly"
"P1009","V25","Weekly"
"P1010","V29","Quarterly"
"P1011","V7","On-Demand"
"P1012","V7","Monthly"
"P1013","V17","Weekly"
"P1014","V11","Daily"
"P1015","V9","Monthly"
"P1016","V22","Monthly"
"P1017","V18","Monthly"
"P1018","V22","Daily"
"P1019","V4","Daily"
"P1020","V7","Weekly"
"P1021","V10","Weekly"
