"customer_id","transaction_id","feedback","rating"
"C332","123007660","Decent product, meets the basic needs.","3.00"
"C289","123009087","Product exceeded expectations, works perfectly.","4.00"
"C752","123009094","Amazing experience, will definitely buy again!","5.00"
"C166","123007759","Service was satisfactory but not outstanding.","4.00"
"C1562","123006193","Decent product, meets the basic needs.","4.00"
"C31","123008341","Great quality, very satisfied with the purchase.","5.00"
"C304","123007231","Product exceeded expectations, works perfectly.","5.00"
"C469","123007867","Service was satisfactory but not outstanding.","4.00"
"C363","123009180","Amazing experience, will definitely buy again!","5.00"
"C477","123006229","Product exceeded expectations, works perfectly.","5.00"
"C1392","123006250","Amazing experience, will definitely buy again!","4.00"
"C671","123008368","Product exceeded expectations, works perfectly.","4.00"
"C1201","123009195","Excellent product, highly recommended!","5.00"
"C1659","123007948","Product exceeded expectations, works perfectly.","4.00"
"C244","123009206","Average experience, acceptable for the price.","3.00"
"C1741","123012964","Excellent product, highly recommended!","5.00"
"C821","123015824","Product arrived damaged, not happy with the service.","1.00"
"C426","123015830","Product arrived damaged, not happy with the service.","2.00"
"C1646","123011798","Quick delivery and fantastic service.","5.00"
"C1621","123011816","Product is fine but could be improved.","4.00"
"C1130","123015934","Quick delivery and fantastic service.","4.00"
"C1381","123015943","Product arrived damaged, not happy with the service.","1.00"
"C1257","123015958","Amazing experience, will definitely buy again!","4.00"
"C136","123016014","Great quality, very satisfied with the purchase.","4.00"
"C494","123011962","Quick delivery and fantastic service.","4.00"
"C149","123013798","Excellent product, highly recommended!","4.00"
"C418","123011967","Quick delivery and fantastic service.","4.00"
"C1166","123011989","Quick delivery and fantastic service.","4.00"
"C1261","123016083","Excellent product, highly recommended!","4.00"
"C1238","123014535","Product is fine but could be improved.","3.00"
"C1170","123015460","Excellent product, highly recommended!","4.00"
"C1455","123016296","Not worth the money, completely unsatisfactory.","2.00"
"C708","123016303","Amazing experience, will definitely buy again!","5.00"
"C963","123016319","Terrible experience, would not recommend.","2.00"
"C1745","123014556","Product exceeded expectations, works perfectly.","4.00"
"C1277","123016401","Quality issues, needs a lot of improvement.","1.00"
"C1112","123016410","Decent product, meets the basic needs.","3.00"
"C306","123012105","Amazing experience, will definitely buy again!","4.00"
"C38","123014578","Quality issues, needs a lot of improvement.","1.00"
"C1117","123012171","Great quality, very satisfied with the purchase.","4.00"
"C1617","123013094","Quick delivery and fantastic service.","4.00"
"C526","123012193","Quick delivery and fantastic service.","5.00"
"C1171","123016657","Great quality, very satisfied with the purchase.","4.00"
"C615","123014614","Excellent product, highly recommended!","4.00"
"C303","123013112","Not worth the money, completely unsatisfactory.","2.00"
"C377","123016715","Product exceeded expectations, works perfectly.","5.00"
"C1614","123014993","Very disappointing, poor quality.","1.00"
"C108","123012328","Very disappointing, poor quality.","1.00"
"C31","123013117","It's okay, not bad but nothing special.","3.00"
"C1108","123012350","Quality issues, needs a lot of improvement.","2.00"
"C256","123012377","Great quality, very satisfied with the purchase.","4.00"
"C1738","123012386","Product arrived damaged, not happy with the service.","2.00"
"C1272","123014666","Excellent product, highly recommended!","4.00"
"C450","123016895","Amazing experience, will definitely buy again!","4.00"
"C987","123012413","Service was satisfactory but not outstanding.","3.00"
"C1705","123016897","Product arrived damaged, not happy with the service.","2.00"
"C189","123011389","Quick delivery and fantastic service.","5.00"
"C1030","123017002","Quick delivery and fantastic service.","5.00"
"C1522","123017017","Service was satisfactory but not outstanding.","4.00"
"C1309","123015040","Not worth the money, completely unsatisfactory.","1.00"
"C1059","123014690","Excellent product, highly recommended!","5.00"
"C1033","123014705","Not worth the money, completely unsatisfactory.","1.00"
"C418","123013203","Decent product, meets the basic needs.","4.00"
"C221","123012496","Great quality, very satisfied with the purchase.","5.00"
"C119","123017077","It's okay, not bad but nothing special.","4.00"
"C1337","123017122","Quick delivery and fantastic service.","4.00"
"C1161","123014724","Amazing experience, will definitely buy again!","5.00"
"C1038","123014746","Decent product, meets the basic needs.","4.00"
"C1133","123012571","Amazing experience, will definitely buy again!","5.00"
"C466","123014751","Amazing experience, will definitely buy again!","5.00"
"C1089","123015081","Excellent product, highly recommended!","4.00"
"C332","123014004","Very disappointing, poor quality.","2.00"
"C754","123014008","Product exceeded expectations, works perfectly.","5.00"
"C1362","123014764","Product is fine but could be improved.","3.00"
"C1148","123012664","Quick delivery and fantastic service.","4.00"
"C1070","123014034","Terrible experience, would not recommend.","1.00"
"C248","123015585","Service was satisfactory but not outstanding.","3.00"
"C839","123014798","Quick delivery and fantastic service.","5.00"
"C704","123014814","It's okay, not bad but nothing special.","3.00"
"C868","123014818","Amazing experience, will definitely buy again!","4.00"
"C915","123012703","Excellent product, highly recommended!","5.00"
"C331","123012713","Product is fine but could be improved.","4.00"
"C921","123012715","Quick delivery and fantastic service.","4.00"
"C1510","123017557","Amazing experience, will definitely buy again!","5.00"
"C830","123017575","Product exceeded expectations, works perfectly.","5.00"
"C762","123013358","It's okay, not bad but nothing special.","3.00"
"C458","123014115","It's okay, not bad but nothing special.","4.00"
"C1164","123015148","Product exceeded expectations, works perfectly.","5.00"
"C780","123011785","Decent product, meets the basic needs.","3.00"
"C165","123014136","Product exceeded expectations, works perfectly.","4.00"
"C511","123011560","Amazing experience, will definitely buy again!","5.00"
"C523","123015632","Product arrived damaged, not happy with the service.","1.00"
"C587","123014158","Great quality, very satisfied with the purchase.","4.00"
"C214","123014172","Quality issues, needs a lot of improvement.","1.00"
"C698","123013545","Not worth the money, completely unsatisfactory.","1.00"
"C1545","123015747","Quick delivery and fantastic service.","4.00"
"C110","123015664","Great quality, very satisfied with the purchase.","5.00"
"C1447","123012930","Quick delivery and fantastic service.","5.00"
"C1348","123015231","Amazing experience, will definitely buy again!","5.00"
"C1650","123015672","Terrible experience, would not recommend.","1.00"
"C175","123013774","Amazing experience, will definitely buy again!","5.00"
"C1714","123014347","Great quality, very satisfied with the purchase.","5.00"
"C213","123015288","Product exceeded expectations, works perfectly.","5.00"
"C671","123015306","Great quality, very satisfied with the purchase.","5.00"
"C481","123015326","Great quality, very satisfied with the purchase.","4.00"
"C751","123015336","Not worth the money, completely unsatisfactory.","1.00"
"C39","123013740","Not worth the money, completely unsatisfactory.","1.00"
"C1178","123011724","Terrible experience, would not recommend.","1.00"
"C1418","123013747","Amazing experience, will definitely buy again!","5.00"
"C595","123011745","Quality issues, needs a lot of improvement.","1.00"
"C853","123018141","Excellent product, highly recommended!","4.00"
"C802","123019095","Amazing experience, will definitely buy again!","5.00"
"C1524","123019983","Amazing experience, will definitely buy again!","5.00"
"C1482","123018193","Product arrived damaged, not happy with the service.","1.00"
"C1702","123020045","Excellent product, highly recommended!","5.00"
"C608","123020134","Great quality, very satisfied with the purchase.","5.00"
"C491","123017796","Great quality, very satisfied with the purchase.","4.00"
"C1608","123018765","Product exceeded expectations, works perfectly.","4.00"
"C1494","123020393","Product is fine but could be improved.","4.00"
"C1549","123018315","Excellent product, highly recommended!","5.00"
"C1101","123020445","Terrible experience, would not recommend.","2.00"
"C10","123018814","Decent product, meets the basic needs.","4.00"
"C1694","123020838","Quality issues, needs a lot of improvement.","1.00"
"C1088","123020878","Great quality, very satisfied with the purchase.","5.00"
"C250","123018432","Product exceeded expectations, works perfectly.","4.00"
"C554","123020952","Very disappointing, poor quality.","2.00"
"C478","123020962","Excellent product, highly recommended!","5.00"
"C384","123021047","Great quality, very satisfied with the purchase.","4.00"
"C1624","123018471","Product exceeded expectations, works perfectly.","5.00"
"C952","123018921","Amazing experience, will definitely buy again!","4.00"
"C1420","123019310","Very disappointing, poor quality.","1.00"
"C606","123019619","Amazing experience, will definitely buy again!","4.00"
"C476","123019663","Excellent product, highly recommended!","5.00"
"C90","123019361","Quick delivery and fantastic service.","5.00"
"C96","123018587","Excellent product, highly recommended!","5.00"
"C779","123018945","Excellent product, highly recommended!","5.00"
"C1234","123019673","Very disappointing, poor quality.","2.00"
"C737","123018598","Amazing experience, will definitely buy again!","4.00"
"C891","123018979","Product exceeded expectations, works perfectly.","5.00"
"C1741","123018614","Excellent product, highly recommended!","5.00"
"C555","123019422","Quick delivery and fantastic service.","5.00"
"C227","123019011","Great quality, very satisfied with the purchase.","4.00"
"C271","123019042","Quick delivery and fantastic service.","5.00"
"C147","123019467","Amazing experience, will definitely buy again!","4.00"
"C861","123024889","Average experience, acceptable for the price.","4.00"
"C343","123024946","Very disappointing, poor quality.","1.00"
"C463","123024956","Excellent product, highly recommended!","5.00"
"C1196","123023774","Quick delivery and fantastic service.","4.00"
"C46","123023175","Quick delivery and fantastic service.","4.00"
"C1619","123025042","Average experience, acceptable for the price.","3.00"
"C228","123023813","Great quality, very satisfied with the purchase.","5.00"
"C547","123024169","Great quality, very satisfied with the purchase.","4.00"
"C1363","123025190","Great quality, very satisfied with the purchase.","4.00"
"C682","123025245","Product exceeded expectations, works perfectly.","5.00"
"C1235","123021668","Service was satisfactory but not outstanding.","3.00"
"C338","123023851","Product exceeded expectations, works perfectly.","4.00"
"C662","123023862","Very disappointing, poor quality.","1.00"
"C1454","123024196","Service was satisfactory but not outstanding.","3.00"
"C895","123023909","Product exceeded expectations, works perfectly.","5.00"
"C1469","123025421","Great quality, very satisfied with the purchase.","5.00"
"C49","123022565","Great quality, very satisfied with the purchase.","4.00"
"C1669","123022571","Product exceeded expectations, works perfectly.","5.00"
"C1695","123021743","Very disappointing, poor quality.","1.00"
"C589","123023911","Decent product, meets the basic needs.","4.00"
"C726","123023914","Decent product, meets the basic needs.","3.00"
"C1086","123021791","Quick delivery and fantastic service.","5.00"
"C1116","123023923","Quick delivery and fantastic service.","5.00"
"C714","123025631","Product exceeded expectations, works perfectly.","5.00"
"C795","123023929","Excellent product, highly recommended!","4.00"
"C253","123021891","Service was satisfactory but not outstanding.","3.00"
"C1463","123021913","Quick delivery and fantastic service.","4.00"
"C633","123023264","Excellent product, highly recommended!","4.00"
"C951","123024840","Amazing experience, will definitely buy again!","4.00"
"C1128","123025837","Product exceeded expectations, works perfectly.","4.00"
"C1702","123025850","Quick delivery and fantastic service.","5.00"
"C764","123023979","Great quality, very satisfied with the purchase.","4.00"
"C1471","123022006","Amazing experience, will definitely buy again!","4.00"
"C993","123023326","Great quality, very satisfied with the purchase.","4.00"
"C1287","123025944","Excellent product, highly recommended!","4.00"
"C1516","123025963","Quality issues, needs a lot of improvement.","2.00"
"C345","123024632","Product arrived damaged, not happy with the service.","2.00"
"C1230","123022013","Product exceeded expectations, works perfectly.","5.00"
"C1753","123022635","Amazing experience, will definitely buy again!","5.00"
"C441","123023370","Excellent product, highly recommended!","4.00"
"C979","123023380","Great quality, very satisfied with the purchase.","5.00"
"C1697","123026119","Excellent product, highly recommended!","4.00"
"C709","123026159","Quick delivery and fantastic service.","5.00"
"C1199","123024033","Great quality, very satisfied with the purchase.","4.00"
"C1185","123026167","Service was satisfactory but not outstanding.","4.00"
"C241","123026170","Great quality, very satisfied with the purchase.","4.00"
"C385","123022056","Quick delivery and fantastic service.","5.00"
"C1298","123022078","Excellent product, highly recommended!","4.00"
"C294","123026261","Great quality, very satisfied with the purchase.","5.00"
"C1186","123023459","Product is fine but could be improved.","3.00"
"C1293","123026275","Excellent product, highly recommended!","5.00"
"C1316","123026333","Terrible experience, would not recommend.","2.00"
"C1239","123026402","Quality issues, needs a lot of improvement.","2.00"
"C547","123024330","Service was satisfactory but not outstanding.","3.00"
"C1603","123026409","Terrible experience, would not recommend.","2.00"
"C820","123021227","Great quality, very satisfied with the purchase.","4.00"
"C553","123026450","Product exceeded expectations, works perfectly.","5.00"
"C285","123022304","Quality issues, needs a lot of improvement.","2.00"
"C1392","123023511","Average experience, acceptable for the price.","3.00"
"C994","123023528","Average experience, acceptable for the price.","3.00"
"C1459","123021116","Great quality, very satisfied with the purchase.","4.00"
"C807","123023552","Excellent product, highly recommended!","5.00"
"C326","123021126","Product exceeded expectations, works perfectly.","4.00"
"C1581","123022864","Product exceeded expectations, works perfectly.","5.00"
"C1597","123024387","Great quality, very satisfied with the purchase.","5.00"
"C1571","123022892","It's okay, not bad but nothing special.","4.00"
"C848","123022403","It's okay, not bad but nothing special.","4.00"
"C24","123022934","Excellent product, highly recommended!","4.00"
"C1430","123021447","Amazing experience, will definitely buy again!","5.00"
"C163","123022936","Excellent product, highly recommended!","4.00"
"C1364","123023612","Excellent product, highly recommended!","4.00"
"C340","123022409","It's okay, not bad but nothing special.","3.00"
"C1579","123024425","Product exceeded expectations, works perfectly.","5.00"
"C1698","123022992","Product exceeded expectations, works perfectly.","5.00"
"C1623","123023677","Decent product, meets the basic needs.","4.00"
"C1627","123023075","Excellent product, highly recommended!","4.00"
"C335","123024462","Not worth the money, completely unsatisfactory.","1.00"
"C1118","123023084","Product exceeded expectations, works perfectly.","5.00"
"C1561","123023692","Excellent product, highly recommended!","4.00"
"C608","123024485","Great quality, very satisfied with the purchase.","4.00"
"C1470","123024833","Average experience, acceptable for the price.","3.00"
"C718","123021382","Product exceeded expectations, works perfectly.","4.00"
"C961","123023095","Terrible experience, would not recommend.","2.00"
"C871","123023110","Terrible experience, would not recommend.","1.00"
"C66","123024834","Quick delivery and fantastic service.","4.00"
"C1673","123024509","Excellent product, highly recommended!","5.00"
"C801","123024519","Quick delivery and fantastic service.","5.00"
"C973","123022457","Amazing experience, will definitely buy again!","5.00"
"C1743","123023134","Product arrived damaged, not happy with the service.","1.00"
"C1109","123030346","Great quality, very satisfied with the purchase.","5.00"
"C1570","123030368","Terrible experience, would not recommend.","1.00"
"C449","123029243","Amazing experience, will definitely buy again!","4.00"
"C1375","123030385","Quality issues, needs a lot of improvement.","2.00"
"C451","123028047","Not worth the money, completely unsatisfactory.","2.00"
"C148","123028715","Not worth the money, completely unsatisfactory.","2.00"
"C773","123027062","Decent product, meets the basic needs.","3.00"
"C447","123028724","Excellent product, highly recommended!","4.00"
"C409","123027080","Product arrived damaged, not happy with the service.","2.00"
"C1017","123027107","Great quality, very satisfied with the purchase.","4.00"
"C1607","123027116","Product is fine but could be improved.","4.00"
"C914","123028763","Excellent product, highly recommended!","5.00"
"C1165","123030555","Product exceeded expectations, works perfectly.","5.00"
"C1643","123027141","Very disappointing, poor quality.","2.00"
"C999","123028078","It's okay, not bad but nothing special.","3.00"
"C303","123027168","Great quality, very satisfied with the purchase.","4.00"
"C513","123030613","Quick delivery and fantastic service.","5.00"
"C505","123030697","Excellent product, highly recommended!","5.00"
"C3","123027199","Quick delivery and fantastic service.","5.00"
"C1510","123028104","Quality issues, needs a lot of improvement.","2.00"
"C899","123029350","Amazing experience, will definitely buy again!","4.00"
"C1065","123030722","Amazing experience, will definitely buy again!","5.00"
"C1295","123030773","Product is fine but could be improved.","3.00"
"C800","123030839","Great quality, very satisfied with the purchase.","5.00"
"C633","123028784","Quality issues, needs a lot of improvement.","2.00"
"C524","123030876","Not worth the money, completely unsatisfactory.","1.00"
"C1527","123029404","Average experience, acceptable for the price.","4.00"
"C621","123027268","Product exceeded expectations, works perfectly.","4.00"
"C93","123027304","Quick delivery and fantastic service.","5.00"
"C813","123029748","Product exceeded expectations, works perfectly.","4.00"
"C931","123029750","Excellent product, highly recommended!","4.00"
"C564","123028168","Product exceeded expectations, works perfectly.","4.00"
"C343","123030973","Product exceeded expectations, works perfectly.","5.00"
"C1310","123027320","Amazing experience, will definitely buy again!","5.00"
"C1167","123026592","Great quality, very satisfied with the purchase.","5.00"
"C1326","123028911","Average experience, acceptable for the price.","4.00"
"C975","123028193","Quick delivery and fantastic service.","4.00"
"C675","123028217","Terrible experience, would not recommend.","1.00"
"C941","123031264","Amazing experience, will definitely buy again!","4.00"
"C1410","123031275","Decent product, meets the basic needs.","4.00"
"C1193","123028962","Terrible experience, would not recommend.","2.00"
"C8","123026681","Product exceeded expectations, works perfectly.","5.00"
"C198","123030141","Great quality, very satisfied with the purchase.","5.00"
"C252","123026709","Great quality, very satisfied with the purchase.","5.00"
"C990","123029807","Excellent product, highly recommended!","4.00"
"C1353","123027722","Product exceeded expectations, works perfectly.","5.00"
"C1020","123029575","Quick delivery and fantastic service.","4.00"
"C72","123031545","Excellent product, highly recommended!","4.00"
"C694","123031550","Amazing experience, will definitely buy again!","4.00"
"C359","123030164","Great quality, very satisfied with the purchase.","5.00"
"C40","123029593","Quick delivery and fantastic service.","5.00"
"C844","123029600","Quality issues, needs a lot of improvement.","1.00"
"C1278","123029605","Quality issues, needs a lot of improvement.","2.00"
"C1708","123031799","Quick delivery and fantastic service.","4.00"
"C1685","123029618","Quality issues, needs a lot of improvement.","2.00"
"C502","123031949","Excellent product, highly recommended!","4.00"
"C231","123026752","Very disappointing, poor quality.","1.00"
"C1474","123031989","Excellent product, highly recommended!","5.00"
"C1103","123026769","Great quality, very satisfied with the purchase.","4.00"
"C1451","123027895","Quick delivery and fantastic service.","4.00"
"C76","123029070","Excellent product, highly recommended!","5.00"
"C1357","123028446","Amazing experience, will definitely buy again!","5.00"
"C1156","123030233","Quick delivery and fantastic service.","4.00"
"C364","123028494","Amazing experience, will definitely buy again!","5.00"
"C597","123029095","Quick delivery and fantastic service.","5.00"
"C146","123026815","Quick delivery and fantastic service.","5.00"
"C211","123029884","Excellent product, highly recommended!","5.00"
"C602","123028543","Excellent product, highly recommended!","5.00"
"C698","123029136","Great quality, very satisfied with the purchase.","5.00"
"C472","123029152","Great quality, very satisfied with the purchase.","4.00"
"C411","123026872","Amazing experience, will definitely buy again!","4.00"
"C1147","123028577","Amazing experience, will definitely buy again!","5.00"
"C1609","123028593","Average experience, acceptable for the price.","4.00"
"C1059","123028612","Excellent product, highly recommended!","4.00"
"C1695","123026877","Amazing experience, will definitely buy again!","5.00"
"C1223","123028023","Very disappointing, poor quality.","2.00"
"C596","123029965","Product exceeded expectations, works perfectly.","5.00"
"C164","123030325","Excellent product, highly recommended!","4.00"
"C93","123029217","Product is fine but could be improved.","4.00"
"C108","123028691","Quick delivery and fantastic service.","4.00"
"C888","123033456","Quick delivery and fantastic service.","5.00"
"C269","123034595","Very disappointing, poor quality.","2.00"
"C513","123032688","Excellent product, highly recommended!","4.00"
"C380","123032692","Quick delivery and fantastic service.","5.00"
"C1670","123034984","Excellent product, highly recommended!","4.00"
"C1539","123032713","Amazing experience, will definitely buy again!","4.00"
"C659","123033325","Great quality, very satisfied with the purchase.","5.00"
"C957","123034141","Decent product, meets the basic needs.","3.00"
"C1361","123036046","Service was satisfactory but not outstanding.","4.00"
"C1148","123032776","Excellent product, highly recommended!","4.00"
"C1057","123036070","Quick delivery and fantastic service.","5.00"
"C1248","123036104","Amazing experience, will definitely buy again!","4.00"
"C347","123036124","It's okay, not bad but nothing special.","4.00"
"C175","123032808","Great quality, very satisfied with the purchase.","4.00"
"C835","123036168","Quick delivery and fantastic service.","4.00"
"C256","123033510","Amazing experience, will definitely buy again!","5.00"
"C1569","123032835","Quick delivery and fantastic service.","4.00"
"C1207","123032837","Service was satisfactory but not outstanding.","4.00"
"C136","123036242","Amazing experience, will definitely buy again!","4.00"
"C1179","123036296","Not worth the money, completely unsatisfactory.","1.00"
"C1650","123033540","Not worth the money, completely unsatisfactory.","1.00"
"C743","123035019","Quick delivery and fantastic service.","4.00"
"C1621","123036330","Average experience, acceptable for the price.","4.00"
"C218","123036385","Terrible experience, would not recommend.","1.00"
"C701","123035434","Average experience, acceptable for the price.","3.00"
"C723","123036496","Product exceeded expectations, works perfectly.","5.00"
"C1208","123032965","Average experience, acceptable for the price.","4.00"
"C1269","123034711","Quick delivery and fantastic service.","4.00"
"C504","123033576","Service was satisfactory but not outstanding.","3.00"
"C1495","123033583","Quality issues, needs a lot of improvement.","2.00"
"C219","123036591","Not worth the money, completely unsatisfactory.","1.00"
"C1100","123036602","Amazing experience, will definitely buy again!","4.00"
"C1292","123032216","Quality issues, needs a lot of improvement.","1.00"
"C478","123033012","Very disappointing, poor quality.","1.00"
"C1638","123034759","Excellent product, highly recommended!","5.00"
"C687","123033612","Excellent product, highly recommended!","5.00"
"C1145","123033071","Excellent product, highly recommended!","5.00"
"C268","123036813","Quick delivery and fantastic service.","5.00"
"C1400","123036828","Great quality, very satisfied with the purchase.","5.00"
"C856","123032260","Excellent product, highly recommended!","4.00"
"C914","123034969","Excellent product, highly recommended!","4.00"
"C1516","123034795","Amazing experience, will definitely buy again!","5.00"
"C108","123035495","Product exceeded expectations, works perfectly.","5.00"
"C1274","123033109","It's okay, not bad but nothing special.","4.00"
"C776","123032267","Amazing experience, will definitely buy again!","4.00"
"C1225","123033141","Amazing experience, will definitely buy again!","4.00"
"C545","123035077","Quick delivery and fantastic service.","5.00"
"C863","123037122","Product arrived damaged, not happy with the service.","2.00"
"C1561","123037153","Amazing experience, will definitely buy again!","4.00"
"C671","123034846","It's okay, not bad but nothing special.","4.00"
"C862","123033198","Amazing experience, will definitely buy again!","4.00"
"C1360","123037192","Quick delivery and fantastic service.","5.00"
"C1054","123032313","Very disappointing, poor quality.","1.00"
"C314","123034896","Quick delivery and fantastic service.","4.00"
"C955","123037269","It's okay, not bad but nothing special.","4.00"
"C1039","123033222","Amazing experience, will definitely buy again!","5.00"
"C1392","123037297","Amazing experience, will definitely buy again!","5.00"
"C1500","123033245","Excellent product, highly recommended!","5.00"
"C249","123037304","Great quality, very satisfied with the purchase.","4.00"
"C612","123034300","Excellent product, highly recommended!","5.00"
"C736","123035520","Terrible experience, would not recommend.","1.00"
"C557","123033264","Quality issues, needs a lot of improvement.","2.00"
"C1072","123033270","Product exceeded expectations, works perfectly.","5.00"
"C530","123034932","Product exceeded expectations, works perfectly.","5.00"
"C1066","123033705","Product is fine but could be improved.","4.00"
"C294","123037568","Product arrived damaged, not happy with the service.","2.00"
"C937","123034964","Average experience, acceptable for the price.","4.00"
"C313","123035110","Service was satisfactory but not outstanding.","4.00"
"C1122","123037630","Quick delivery and fantastic service.","5.00"
"C802","123033769","Great quality, very satisfied with the purchase.","4.00"
"C1098","123033389","Great quality, very satisfied with the purchase.","4.00"
"C54","123034417","Quality issues, needs a lot of improvement.","2.00"
"C300","123034425","Excellent product, highly recommended!","4.00"
"C51","123032412","Product exceeded expectations, works perfectly.","4.00"
"C456","123035201","Product exceeded expectations, works perfectly.","5.00"
"C1561","123035650","Product exceeded expectations, works perfectly.","4.00"
"C1462","123035229","Amazing experience, will definitely buy again!","4.00"
"C679","123033895","Quick delivery and fantastic service.","5.00"
"C789","123033916","Quality issues, needs a lot of improvement.","1.00"
"C557","123033935","Decent product, meets the basic needs.","4.00"
"C1614","123033940","Decent product, meets the basic needs.","3.00"
"C95","123032475","Amazing experience, will definitely buy again!","5.00"
"C1519","123033961","Service was satisfactory but not outstanding.","3.00"
"C1251","123033965","Product exceeded expectations, works perfectly.","4.00"
"C1140","123034020","Product exceeded expectations, works perfectly.","4.00"
"C225","123034518","Service was satisfactory but not outstanding.","3.00"
"C880","123035309","Quick delivery and fantastic service.","5.00"
"C243","123035331","Product exceeded expectations, works perfectly.","5.00"
"C1732","123034058","Quick delivery and fantastic service.","4.00"
"C1722","123033413","Excellent product, highly recommended!","5.00"
"C176","123034589","Decent product, meets the basic needs.","3.00"
"C581","123038996","Product exceeded expectations, works perfectly.","4.00"
"C268","123040675","Service was satisfactory but not outstanding.","4.00"
"C274","123039895","Product arrived damaged, not happy with the service.","2.00"
"C1462","123037634","Decent product, meets the basic needs.","4.00"
"C1329","123042005","Amazing experience, will definitely buy again!","4.00"
"C19","123040684","Terrible experience, would not recommend.","2.00"
"C348","123042017","It's okay, not bad but nothing special.","3.00"
"C1286","123038233","Quick delivery and fantastic service.","5.00"
"C1076","123038244","Amazing experience, will definitely buy again!","4.00"
"C862","123041095","Product exceeded expectations, works perfectly.","5.00"
"C241","123040732","Decent product, meets the basic needs.","3.00"
